run_id,game_date,player_name,team_abbreviation,matchup,prop_type,market_family,market_profile,market_profile_label,side,line,price,proj,diff,diff_abs,diff_ratio,edge_pct,edge_score,model_mae,model_key,min_l5,candidate_basic,micro_line_final,line_min_ok,consistency_joya,main_eligible,radar_only,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hr_text,quality,bucket
ludo_20260613_131701_d14022,2026-06-13,Karl-Anthony Towns,NYK,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,8.5,1.17,6.34135723114014,-2.15864276885986,2.15864276885986,1.216890900760956,25.3957972807043,1.21689090076096,1.7739,FGM,33.7000007629395,True,False,True,False,False,False,5,5,10,10,1.0,1.0,5/5 | 10/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Stephon Castle,SAS,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,OVER,12.5,1.31,17.2515640258789,4.75156402587891,4.75156402587891,1.0323427609618072,38.0125122070312,1.03234276096181,4.6027,PTS,33.5400005340576,True,False,True,False,False,False,5,5,10,10,1.0,1.0,5/5 | 10/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Victor Wembanyama,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,OVER,14.5,1.19,17.23583984375,2.73583984375,2.73583984375,0.9761095489332097,18.8678609913793,0.97610954893321,2.8028,FGA,37.4200000762939,True,False,True,False,False,False,5,5,10,10,1.0,1.0,5/5 | 10/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Devin Vassell,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,2.5,1.17,4.6124324798584,2.1124324798584,2.1124324798584,1.190840791396584,84.4972991943359,1.19084079139658,1.7739,FGM,34.3199996948242,True,False,True,False,False,False,5,5,9,10,1.0,0.9,5/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Devin Vassell,SAS,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,6.5,1.18,4.6124324798584,-1.8875675201416,1.8875675201416,1.06407774967112,29.0395003098708,1.06407774967112,1.7739,FGM,34.3199996948242,True,False,True,False,False,False,5,5,9,10,1.0,0.9,5/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Julian Champagnie,SAS,San Antonio Spurs @ New York Knicks,PRA,MAIN,COMBO_TOTAL,Combinadas estadísticas,OVER,12.5,1.36,18.4540996551514,5.95409965515137,5.95409965515137,0.9781825978989912,47.6327972412109,0.978182597898991,6.0869,PRA,31.3000003814697,True,False,True,False,False,False,5,5,9,10,1.0,0.9,5/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Mikal Bridges,NYK,San Antonio Spurs @ New York Knicks,FGM,MAIN,SCORING_RESULT,Anotación / resultado,OVER,2.5,1.19,5.60408115386963,3.10408115386963,3.10408115386963,1.749862536709865,124.163246154785,1.74986253670986,1.7739,FGM,33.4400005340576,True,False,True,False,False,False,4,5,9,10,0.8,0.9,4/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,15.5,1.14,10.6915559768677,-4.80844402313232,4.80844402313232,1.7155858509819895,31.0222195040795,1.71558585098199,2.8028,FGA,28.1799999237061,True,False,True,False,False,False,4,5,9,10,0.8,0.9,4/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Dylan Harper,SAS,San Antonio Spurs @ New York Knicks,PTS,MAIN,SCORING_RESULT,Anotación / resultado,UNDER,18.5,1.33,13.6268491744995,-4.87315082550049,4.87315082550049,1.0587591686402527,26.3413558135162,1.05875916864025,4.6027,PTS,28.1799999237061,True,False,True,False,False,False,4,5,9,10,0.8,0.9,4/5 | 9/10,BUENA,RADAR
ludo_20260613_131701_d14022,2026-06-13,Landry Shamet,NYK,San Antonio Spurs @ New York Knicks,FGA,TECH,VOLUME_SAFE,Volumen seguro,UNDER,9.5,1.11,6.83854293823242,-2.66145706176758,2.66145706176758,0.9495708083943128,28.0153374922903,0.949570808394312,2.8028,FGA,26.7,True,False,True,False,False,False,4,5,9,10,0.8,0.9,4/5 | 9/10,BUENA,RADAR
