game_id,team_id,team_abbreviation,team_name,season,season_type,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,turnovers,pf,pts,plus_minus,updated_at
1022400025,1611661313,NYL,Liberty,2024,Regular Season,,200:00,26,68,0.382,7,29,0.241,8,10,0.8,9,21,30,18,8,3,16,11,67,-17.0,2026-05-21T18:53:57.567413
1022400025,1611661324,MIN,Lynx,2024,Regular Season,,200:00,32,67,0.478,14,28,0.5,6,6,1.0,8,27,35,26,8,7,16,16,84,17.0,2026-05-21T18:53:57.567413
1022400029,1611661317,PHO,Mercury,2024,Regular Season,,200:00,31,75,0.413,14,35,0.4,16,17,0.941,8,17,25,26,7,6,19,15,92,-15.0,2026-05-21T18:53:57.567413
1022400029,1611661321,DAL,Wings,2024,Regular Season,,200:00,39,75,0.52,10,20,0.5,19,21,0.905,14,24,38,23,10,5,18,14,107,15.0,2026-05-21T18:53:57.567413
1022400027,1611661319,LVA,Aces,2024,Regular Season,,200:00,35,73,0.479,13,35,0.371,16,18,0.889,6,30,36,24,7,4,8,14,99,19.0,2026-05-21T18:53:57.567413
1022400027,1611661325,IND,Fever,2024,Regular Season,,200:00,30,70,0.429,10,27,0.37,10,13,0.769,6,30,36,20,4,3,12,16,80,-19.0,2026-05-21T18:53:57.567413
1022400028,1611661322,WAS,Mystics,2024,Regular Season,,200:00,24,70,0.343,7,20,0.35,14,15,0.933,12,15,27,13,7,0,14,15,69,-32.0,2026-05-21T18:53:57.567413
1022400028,1611661328,SEA,Storm,2024,Regular Season,,200:00,37,60,0.617,12,22,0.545,15,18,0.833,5,28,33,27,6,6,16,19,101,32.0,2026-05-21T18:53:57.567413
1022400026,1611661323,CON,Sun,2024,Regular Season,,200:00,31,63,0.492,6,17,0.353,18,21,0.857,16,22,38,17,5,4,17,16,86,4.0,2026-05-21T18:53:57.567413
1022400026,1611661329,CHI,Sky,2024,Regular Season,,200:00,28,64,0.438,8,17,0.471,18,22,0.818,9,12,21,18,13,3,11,24,82,-4.0,2026-05-21T18:53:57.567413
1022400031,1611661320,LAS,Sparks,2024,Regular Season,,200:00,30,76,0.395,6,21,0.286,17,21,0.81,10,27,37,21,1,4,8,18,83,-1.0,2026-05-21T18:53:57.567413
1022400031,1611661321,DAL,Wings,2024,Regular Season,,200:00,32,76,0.421,2,12,0.167,18,24,0.75,16,28,44,22,5,6,6,17,84,1.0,2026-05-21T18:53:57.567413
1022400030,1611661324,MIN,Lynx,2024,Regular Season,,200:00,31,62,0.5,13,29,0.448,17,23,0.739,5,26,31,23,7,4,10,17,92,13.0,2026-05-21T18:53:57.567413
1022400030,1611661330,ATL,Dream,2024,Regular Season,,200:00,31,68,0.456,6,22,0.273,11,14,0.786,10,22,32,23,9,1,10,15,79,-13.0,2026-05-21T18:53:57.567413
1022400032,1611661317,PHO,Mercury,2024,Regular Season,,200:00,15,63,0.238,1,27,0.037,16,22,0.727,12,31,43,12,7,9,20,11,47,-23.0,2026-05-21T18:53:57.567413
1022400032,1611661323,CON,Sun,2024,Regular Season,,200:00,27,77,0.351,5,24,0.208,11,18,0.611,11,27,38,23,12,4,9,17,70,23.0,2026-05-21T18:53:57.567413
1022400033,1611661320,LAS,Sparks,2024,Regular Season,,200:00,25,53,0.472,14,23,0.609,24,33,0.727,4,26,30,17,9,5,19,20,88,6.0,2026-05-21T18:53:57.567413
1022400033,1611661325,IND,Fever,2024,Regular Season,,200:00,26,68,0.382,10,30,0.333,20,25,0.8,9,19,28,17,12,6,14,26,82,-6.0,2026-05-21T18:53:57.567413
1022400034,1611661328,SEA,Storm,2024,Regular Season,,200:00,28,64,0.438,5,15,0.333,16,18,0.889,6,26,32,17,13,8,18,15,77,9.0,2026-05-21T18:53:57.567413
1022400034,1611661329,CHI,Sky,2024,Regular Season,,200:00,27,66,0.409,4,12,0.333,10,13,0.769,10,27,37,19,11,0,21,18,68,-9.0,2026-05-21T18:53:57.567413
1022400035,1611661317,PHO,Mercury,2024,Regular Season,,200:00,29,68,0.426,10,30,0.333,10,13,0.769,8,26,34,18,6,2,10,18,78,-3.0,2026-05-21T18:53:57.567413
