partido,jugador,mercado,linea,tipo,cuota,fuente,fecha
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Rebotes,24.5,Debajo,1.51,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,13.5,Sobre,1.76,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,13.5,Debajo,1.91,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,14.5,Sobre,1.91,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,14.5,Debajo,1.66,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,15.5,Sobre,2.12,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos+Asistencias,15.5,Debajo,1.53,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias+Rebotes,11.5,Sobre,1.83,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias+Rebotes,11.5,Debajo,1.84,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias+Rebotes,12.5,Sobre,2.10,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias+Rebotes,12.5,Debajo,1.54,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias,1.5,Sobre,1.73,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias,1.5,Debajo,1.96,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias,2.5,Sobre,2.74,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Asistencias,2.5,Debajo,1.32,dom_alt,2026-05-21
