team_id,team_name,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,turnovers,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,season,season_type,updated_at
1611661328,Seattle Storm,40,25,15,0.625,40.3,31.1,71.3,0.435,6.1,21.0,0.288,15.1,18.0,0.84,8.7,26.0,34.7,20.7,13.1,9.3,5.2,4.6,16.5,16.4,83.2,4.5,1,5,5,5,4,3,1,8,9,8,12,4,7,1,4,6,6,4,2,1,1,9,4,11,5,5,2024,Regular Season,2026-05-24T14:25:54.223841
1611661322,Washington Mystics,40,14,26,0.35,40.3,29.0,67.0,0.433,9.7,26.6,0.366,11.5,15.0,0.767,7.1,24.8,31.9,21.6,16.1,7.3,3.4,3.4,18.4,18.2,79.3,-3.0,1,9,9,9,4,10,9,9,2,2,2,12,12,9,10,11,12,3,12,6,11,3,10,1,9,8,2024,Regular Season,2026-05-24T14:25:54.223841
1611661330,Atlanta Dream,2,0,2,0.0,40.0,31.0,66.5,0.466,5.0,17.5,0.286,8.5,14.0,0.607,9.0,24.0,33.0,19.0,15.0,6.0,4.5,4.0,14.0,15.0,75.5,-11.5,5,5,1,5,3,2,7,2,8,8,7,6,5,8,4,6,5,7,7,5,1,5,3,4,6,7,2024,Playoffs,2026-05-24T14:25:55.658431
1611661323,Connecticut Sun,7,4,3,0.571,40.0,30.3,70.1,0.432,6.7,19.6,0.343,14.6,17.1,0.85,9.6,23.7,33.3,20.4,12.3,6.4,3.4,5.7,13.3,16.7,81.9,2.3,3,3,5,3,3,4,4,5,6,6,5,1,1,3,1,8,4,4,3,4,8,8,2,1,4,2,2024,Playoffs,2026-05-24T14:25:55.658431
1611661325,Indiana Fever,2,0,2,0.0,40.0,30.0,71.5,0.42,7.0,29.0,0.241,8.0,10.5,0.762,9.5,26.5,36.0,22.0,15.0,6.0,4.0,5.0,17.5,11.0,75.0,-15.0,5,5,1,5,3,5,1,7,5,1,8,8,8,6,2,2,2,1,7,5,5,6,7,8,7,8,2024,Playoffs,2026-05-24T14:25:55.658431
1611661319,Las Vegas Aces,6,3,3,0.5,40.0,29.7,67.7,0.438,8.8,25.7,0.344,11.7,14.7,0.795,6.0,25.7,31.7,19.8,11.0,5.2,4.5,3.8,14.8,14.7,79.8,0.7,4,4,5,4,3,6,6,4,3,3,4,4,4,5,7,4,6,5,2,8,1,3,4,5,5,4,2024,Playoffs,2026-05-24T14:25:55.658431
1611661324,Minnesota Lynx,12,7,5,0.583,40.8,30.6,66.2,0.462,7.8,21.8,0.36,13.7,16.1,0.85,5.9,24.3,30.2,21.2,12.8,7.3,4.4,3.8,15.7,15.8,82.7,1.3,1,2,8,2,2,3,8,3,4,5,3,3,3,4,8,5,8,3,4,3,3,3,6,2,2,3,2024,Playoffs,2026-05-24T14:25:55.658431
1611661313,New York Liberty,11,8,3,0.727,40.9,29.5,68.9,0.429,9.1,25.1,0.362,14.2,16.1,0.881,9.4,28.2,37.5,19.2,14.2,7.4,4.4,3.6,15.3,15.6,82.4,5.0,2,1,5,1,1,7,5,6,2,4,2,2,2,2,3,1,1,6,6,2,4,2,5,3,3,1,2024,Playoffs,2026-05-24T14:25:55.658431
1611661317,Phoenix Mercury,2,0,2,0.0,40.0,36.0,71.0,0.507,11.0,26.5,0.415,8.5,12.5,0.68,7.0,24.0,31.0,22.0,13.0,5.5,4.0,3.0,23.5,13.5,91.5,-10.0,5,5,1,5,3,1,3,1,1,2,1,6,7,7,6,6,7,1,5,7,5,1,8,6,1,6,2024,Playoffs,2026-05-24T14:25:55.658431
1611661328,Seattle Storm,2,0,2,0.0,40.0,27.0,71.5,0.378,6.0,19.5,0.308,11.5,13.0,0.885,8.5,26.5,35.0,16.5,9.5,8.0,3.5,5.5,11.5,12.0,71.5,-9.0,5,5,1,5,3,8,1,8,7,7,6,5,6,1,5,2,3,8,1,1,7,7,1,7,8,5,2024,Playoffs,2026-05-24T14:25:55.658431
1611661330,Atlanta Dream,44,30,14,0.682,40.1,30.1,67.8,0.443,9.6,28.4,0.337,14.7,18.7,0.786,8.9,27.7,36.6,21.4,12.5,6.8,4.5,3.6,15.8,17.0,84.4,7.6,1,2,2,2,3,6,6,6,3,2,7,7,4,6,3,1,1,3,2,11,4,4,1,8,5,2,2025,Regular Season,2026-05-24T14:25:56.799421
1611661329,Chicago Sky,44,10,34,0.227,40.0,28.0,66.0,0.425,6.7,20.2,0.33,13.0,17.1,0.763,9.8,25.7,35.5,19.3,16.9,6.0,4.2,5.5,17.8,16.7,75.8,-10.0,1,12,12,12,10,10,10,10,10,12,9,11,11,11,2,5,2,10,13,13,6,13,8,10,13,12,2025,Regular Season,2026-05-24T14:25:56.799421
1611661323,Connecticut Sun,44,11,33,0.25,40.1,27.6,67.1,0.412,6.2,20.4,0.302,14.5,18.2,0.793,8.5,23.3,31.9,17.4,14.0,7.8,3.7,3.8,19.6,17.5,75.8,-10.1,1,11,11,11,3,12,9,12,12,11,13,8,8,5,7,13,12,13,8,3,9,5,13,6,12,13,2025,Regular Season,2026-05-24T14:25:56.799421
1611661321,Dallas Wings,44,10,34,0.227,40.1,30.2,71.4,0.423,6.6,21.6,0.304,14.8,18.4,0.802,10.0,25.3,35.4,20.2,13.9,7.3,4.0,4.7,18.9,17.6,81.7,-6.3,1,12,12,12,3,5,1,11,11,10,12,6,6,4,1,8,3,8,7,8,7,11,12,5,9,11,2025,Regular Season,2026-05-24T14:25:56.799421
1611661331,Golden State Valkyries,44,23,21,0.523,40.1,26.5,65.2,0.407,9.7,29.9,0.325,15.0,18.4,0.815,8.7,26.6,35.3,18.5,14.2,6.8,2.9,4.1,17.5,17.8,77.7,1.4,1,7,7,7,3,13,12,13,1,1,11,5,6,3,5,3,4,12,10,10,12,9,7,4,10,8,2025,Regular Season,2026-05-24T14:25:56.799421
1611661325,Indiana Fever,44,24,20,0.545,40.1,31.4,68.8,0.456,8.3,24.0,0.346,13.8,18.0,0.77,8.8,24.6,33.4,20.6,14.0,7.7,2.8,3.9,18.6,19.0,84.9,3.4,1,6,6,6,3,2,3,3,8,8,4,10,9,9,4,11,9,7,8,5,13,7,11,2,3,4,2025,Regular Season,2026-05-24T14:25:56.799421
1611661319,Las Vegas Aces,44,30,14,0.682,40.0,29.7,67.6,0.439,9.1,25.9,0.351,15.2,18.5,0.824,8.1,25.4,33.5,19.6,13.0,7.5,4.9,2.6,16.6,17.2,83.6,2.9,1,2,2,2,10,8,7,8,6,5,3,4,5,2,9,7,8,9,4,7,2,1,4,7,6,5,2025,Regular Season,2026-05-24T14:25:56.799421
1611661320,Los Angeles Sparks,44,21,23,0.477,40.3,30.7,67.1,0.457,8.6,25.6,0.337,15.7,20.4,0.769,8.0,25.3,33.3,20.7,15.0,7.3,3.1,4.7,16.9,18.3,85.7,-2.6,1,9,9,9,1,4,8,2,7,6,8,1,2,10,10,10,10,6,11,9,11,11,5,3,2,9,2025,Regular Season,2026-05-24T14:25:56.799421
1611661324,Minnesota Lynx,44,34,10,0.773,40.1,32.1,68.1,0.472,9.6,25.4,0.378,12.2,16.1,0.76,8.5,25.6,34.2,23.3,13.0,8.2,4.8,2.8,16.0,16.4,86.1,9.4,1,1,1,1,3,1,5,1,2,7,1,13,12,12,7,6,6,1,3,2,3,2,2,13,1,1,2025,Regular Season,2026-05-24T14:25:56.799421
1611661313,New York Liberty,44,27,17,0.614,40.0,29.6,65.3,0.453,9.5,26.8,0.355,15.6,18.7,0.837,6.8,26.9,33.7,21.8,13.8,7.6,4.4,3.3,16.2,16.8,84.4,4.1,1,4,4,4,10,9,11,4,4,4,2,2,3,1,13,2,7,2,6,6,5,3,3,9,4,3,2025,Regular Season,2026-05-24T14:25:56.799421
1611661317,Phoenix Mercury,44,27,17,0.614,40.0,29.7,68.6,0.433,9.4,27.7,0.34,13.9,17.8,0.784,8.7,26.0,34.7,20.9,13.5,7.8,3.7,3.8,17.8,16.4,82.8,2.7,1,4,4,4,10,7,4,9,5,3,6,9,10,7,6,4,5,5,5,4,8,6,8,12,7,6,2025,Regular Season,2026-05-24T14:25:56.799421
