partido,jugador,mercado,linea,handicap,cuota
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),26+,0.0,2.5
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),27+,0.0,2.82
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos (hitos),28+,0.0,3.2
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),15+,0.0,1.34
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),17+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),19+,0.0,2.07
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),21+,0.0,2.67
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),23+,0.0,3.45
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),25+,0.0,4.35
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),27+,0.0,5.3
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),29+,0.0,6.1
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos (hitos),31+,0.0,6.8
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),14+,0.0,1.33
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),15+,0.0,1.47
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),16+,0.0,1.62
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),17+,0.0,1.82
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),18+,0.0,2.07
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),19+,0.0,2.37
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),20+,0.0,2.75
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),21+,0.0,3.25
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos (hitos),22+,0.0,3.8
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),10+,0.0,1.47
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),12+,0.0,1.88
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),14+,0.0,2.55
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),16+,0.0,3.65
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),18+,0.0,5.3
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),20+,0.0,7.8
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),22+,0.0,11.0
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),24+,0.0,14.0
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos (hitos),26+,0.0,16.5
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),9+,0.0,1.55
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),10+,0.0,1.75
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),11+,0.0,2.12
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),12+,0.0,2.52
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),13+,0.0,3.15
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),14+,0.0,3.85
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),15+,0.0,4.85
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos (hitos),16+,0.0,6.1
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),7+,0.0,1.42
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),8+,0.0,1.6
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),9+,0.0,1.88
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),10+,0.0,2.22
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),11+,0.0,2.65
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),12+,0.0,3.2
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),13+,0.0,3.9
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos (hitos),14+,0.0,4.7
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),7+,0.0,1.44
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),8+,0.0,1.6
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),9+,0.0,2.0
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),10+,0.0,2.35
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),11+,0.0,2.95
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),12+,0.0,3.55
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),13+,0.0,4.4
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos (hitos),14+,0.0,5.2
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),6+,0.0,1.55
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),7+,0.0,1.88
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),8+,0.0,2.15
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),9+,0.0,2.62
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),10+,0.0,3.35
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),11+,0.0,4.05
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),12+,0.0,5.2
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos (hitos),13+,0.0,6.5
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),6+,0.0,1.57
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),7+,0.0,1.83
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),8+,0.0,2.22
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),9+,0.0,2.77
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),10+,0.0,3.45
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),11+,0.0,4.4
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),12+,0.0,5.5
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos (hitos),13+,0.0,6.9
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),5+,0.0,1.29
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),6+,0.0,1.52
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),7+,0.0,1.8
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),8+,0.0,2.07
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),9+,0.0,2.52
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos (hitos),10+,0.0,3.05
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),5+,0.0,1.42
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),6+,0.0,1.7
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),7+,0.0,2.02
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),8+,0.0,2.47
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),9+,0.0,3.1
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos (hitos),10+,0.0,3.9
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),4+,0.0,1.45
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),5+,0.0,1.95
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),6+,0.0,2.35
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),7+,0.0,3.3
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),8+,0.0,4.3
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos (hitos),9+,0.0,6.0
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),3+,0.0,1.38
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),4+,0.0,1.91
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),5+,0.0,2.15
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),6+,0.0,2.72
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),7+,0.0,3.9
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos (hitos),8+,0.0,4.75
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),3+,0.0,1.38
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),4+,0.0,1.91
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),5+,0.0,2.18
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),6+,0.0,2.77
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),7+,0.0,3.95
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos (hitos),8+,0.0,4.85
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos (hitos),2+,0.0,1.26
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos (hitos),3+,0.0,1.72
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos (hitos),4+,0.0,2.25
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos (hitos),5+,0.0,2.9
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos Más/Menos,Más 29.5,29.5,1.95
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Puntos Más/Menos,Menos 29.5,29.5,1.8
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos Más/Menos,Más 22.5,22.5,1.8
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Puntos Más/Menos,Menos 22.5,22.5,1.95
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos Más/Menos,Más 22.5,22.5,1.91
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Puntos Más/Menos,Menos 22.5,22.5,1.83
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos Más/Menos,Más 16.5,16.5,1.93
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Puntos Más/Menos,Menos 16.5,16.5,1.82
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos Más/Menos,Más 16.5,16.5,1.82
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Puntos Más/Menos,Menos 16.5,16.5,1.91
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos Más/Menos,Más 11.5,11.5,1.75
Los Angeles Lakers Oklahoma City Thunder,Marcus Smart,Puntos Más/Menos,Menos 11.5,11.5,2.0
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos Más/Menos,Más 9.5,9.5,1.88
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Puntos Más/Menos,Menos 9.5,9.5,1.85
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos Más/Menos,Más 8.5,8.5,2.05
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Puntos Más/Menos,Menos 8.5,8.5,1.72
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos Más/Menos,Más 7.5,7.5,1.62
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Puntos Más/Menos,Menos 7.5,7.5,2.2
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos Más/Menos,Más 6.5,6.5,2.02
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Puntos Más/Menos,Menos 6.5,6.5,1.75
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos Más/Menos,Más 6.5,6.5,2.05
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Puntos Más/Menos,Menos 6.5,6.5,1.72
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos Más/Menos,Más 6.5,6.5,1.83
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Puntos Más/Menos,Menos 6.5,6.5,1.9
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos Más/Menos,Más 6.5,6.5,1.88
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Puntos Más/Menos,Menos 6.5,6.5,1.85
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos Más/Menos,Más 4.5,4.5,1.95
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Puntos Más/Menos,Menos 4.5,4.5,1.8
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos Más/Menos,Más 3.5,3.5,1.91
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Puntos Más/Menos,Menos 3.5,3.5,1.82
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos Más/Menos,Más 3.5,3.5,1.91
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Puntos Más/Menos,Menos 3.5,3.5,1.83
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos Más/Menos,Más 2.5,2.5,1.72
Los Angeles Lakers Oklahoma City Thunder,Jake LaRavia,Puntos Más/Menos,Menos 2.5,2.5,2.05
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),7+,0.0,1.42
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),8+,0.0,1.82
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),9+,0.0,2.5
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),10+,0.0,3.6
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),11+,0.0,5.4
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),12+,0.0,8.25
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),13+,0.0,11.5
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias (hitos),14+,0.0,15.0
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),6+,0.0,1.34
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),7+,0.0,1.72
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),8+,0.0,2.35
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),9+,0.0,3.3
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),10+,0.0,4.75
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),11+,0.0,6.5
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),12+,0.0,8.25
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias (hitos),13+,0.0,9.5
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),5+,0.0,1.25
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),6+,0.0,1.6
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),7+,0.0,2.2
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),8+,0.0,3.1
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),9+,0.0,4.5
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias (hitos),10+,0.0,9.25
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),3+,0.0,1.21
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),4+,0.0,1.62
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),5+,0.0,2.42
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),6+,0.0,3.75
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),7+,0.0,5.7
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias (hitos),8+,0.0,7.5
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias (hitos),2+,0.0,1.17
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias (hitos),3+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias (hitos),4+,0.0,2.65
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias (hitos),5+,0.0,4.5
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias (hitos),1+,0.0,1.11
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias (hitos),2+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias (hitos),3+,0.0,3.0
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias (hitos),4+,0.0,6.0
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias (hitos),1+,0.0,1.11
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias (hitos),2+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias (hitos),3+,0.0,3.0
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias (hitos),4+,0.0,6.1
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias (hitos),1+,0.0,1.11
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias (hitos),2+,0.0,1.65
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias (hitos),3+,0.0,3.0
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias (hitos),4+,0.0,6.0
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias (hitos),1+,0.0,1.15
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias (hitos),2+,0.0,1.91
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias (hitos),3+,0.0,3.7
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias (hitos),4+,0.0,6.5
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias (hitos),1+,0.0,1.25
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias (hitos),2+,0.0,2.25
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias (hitos),3+,0.0,4.9
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias (hitos),4+,0.0,10.5
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias (hitos),1+,0.0,1.33
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias (hitos),2+,0.0,2.6
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias (hitos),3+,0.0,5.9
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias (hitos),4+,0.0,12.5
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias (hitos),1+,0.0,1.34
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias (hitos),2+,0.0,2.62
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias (hitos),3+,0.0,6.1
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias (hitos),4+,0.0,12.5
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias (hitos),1+,0.0,1.75
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias (hitos),2+,0.0,4.65
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias (hitos),3+,0.0,11.75
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias (hitos),4+,0.0,18.0
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Asistencias (hitos),1+,0.0,1.75
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Asistencias (hitos),2+,0.0,4.65
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Asistencias (hitos),3+,0.0,11.75
Los Angeles Lakers Oklahoma City Thunder,Jared McCain,Asistencias (hitos),4+,0.0,18.0
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Asistencias (hitos),1+,0.0,1.8
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Asistencias (hitos),2+,0.0,4.85
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Asistencias (hitos),3+,0.0,12.0
Los Angeles Lakers Oklahoma City Thunder,Jaxson Hayes,Asistencias (hitos),4+,0.0,18.0
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Asistencias (hitos),1+,0.0,2.35
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Asistencias (hitos),2+,0.0,7.7
Los Angeles Lakers Oklahoma City Thunder,Isaiah Joe,Asistencias (hitos),3+,0.0,16.5
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias Más/Menos,Más 7.5,7.5,1.82
Los Angeles Lakers Oklahoma City Thunder,LeBron James,Asistencias Más/Menos,Menos 7.5,7.5,1.93
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias Más/Menos,Más 6.5,6.5,1.72
Los Angeles Lakers Oklahoma City Thunder,Shai Gilgeous-Alexander,Asistencias Más/Menos,Menos 6.5,6.5,2.05
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias Más/Menos,Más 5.5,5.5,1.62
Los Angeles Lakers Oklahoma City Thunder,Austin Reaves,Asistencias Más/Menos,Menos 5.5,5.5,2.22
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias Más/Menos,Más 3.5,3.5,1.65
Los Angeles Lakers Oklahoma City Thunder,Ajay Mitchell,Asistencias Más/Menos,Menos 3.5,3.5,2.15
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias Más/Menos,Más 2.5,2.5,1.67
Los Angeles Lakers Oklahoma City Thunder,Isaiah Hartenstein,Asistencias Más/Menos,Menos 2.5,2.5,2.12
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias Más/Menos,Más 1.5,1.5,1.67
Los Angeles Lakers Oklahoma City Thunder,Cason Wallace,Asistencias Más/Menos,Menos 1.5,1.5,2.12
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias Más/Menos,Más 1.5,1.5,2.22
Los Angeles Lakers Oklahoma City Thunder,Jaylin Williams,Asistencias Más/Menos,Menos 1.5,1.5,1.62
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias Más/Menos,Más 1.5,1.5,1.65
Los Angeles Lakers Oklahoma City Thunder,Alex Caruso,Asistencias Más/Menos,Menos 1.5,1.5,2.15
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias Más/Menos,Más 1.5,1.5,1.91
Los Angeles Lakers Oklahoma City Thunder,Chet Holmgren,Asistencias Más/Menos,Menos 1.5,1.5,1.83
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias Más/Menos,Más 1.5,1.5,2.55
Los Angeles Lakers Oklahoma City Thunder,Rui Hachimura,Asistencias Más/Menos,Menos 1.5,1.5,1.47
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias Más/Menos,Más 1.5,1.5,1.67
Los Angeles Lakers Oklahoma City Thunder,Luke Kennard,Asistencias Más/Menos,Menos 1.5,1.5,2.12
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias Más/Menos,Más 1.5,1.5,2.57
Los Angeles Lakers Oklahoma City Thunder,Luguentz Dort,Asistencias Más/Menos,Menos 1.5,1.5,1.47
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias Más/Menos,Más 0.5,0.5,1.75
Los Angeles Lakers Oklahoma City Thunder,Deandre Ayton,Asistencias Más/Menos,Menos 0.5,0.5,2.0
