created_at_utc,snapshot_id,book,partido,jugador,player_norm,game_norm,pred_player,player_id,team,pred_game,pred_game_norm,game_match,team_game_match,mercado_raw,linea_raw,stat_key,side,threshold,model_line,odds_decimal,pred_mean,pred_std,prob_model,prob_implied,edge_prob,ev,ev_pct,row_uid,pick_uid,hit_l5,n_l5,hit_l10,n_l10,hr_l5,hr_l10,hit_rate,keep_reason
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Cade Cunningham,cade cunningham,cleveland cavaliers detroit pistons,Cade Cunningham,1630595,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Asistencias (hitos),8+,AST,over,8,7.5,1.42,8.84934,1.4546,0.823201,0.704225,0.118976,0.168946,16.89,b8ab5499ea1e7e23b2e3259b0832ad47ae383408,b8ab5499ea1e7e23b2e3259b0832ad47ae383408|8.8493|1.4546,3,5,5,10,0.600000,0.500000,3/5 | 5/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Rudy Gobert,rudy gobert,minnesota timberwolves san antonio spurs,Rudy Gobert,203497,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),6+,PTS,over,6,5.5,1.42,9.57179,4.8341,0.800191,0.704225,0.095966,0.136272,13.63,84bf8142f47d3c57fede068f647d6d0583bab144,84bf8142f47d3c57fede068f647d6d0583bab144|9.5718|4.8341,3,5,5,10,0.600000,0.500000,3/5 | 5/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Cleveland Cavaliers Detroit Pistons,Jalen Duren,jalen duren,cleveland cavaliers detroit pistons,Jalen Duren,1631105,DET,Detroit Pistons @ Cleveland Cavaliers,detroit pistons cleveland cavaliers,1,1,Rebotes (hitos),10+,REB,over,10,9.5,2.15,11.0015,1.9667,0.777408,0.465116,0.312292,0.671427,67.14,b3f7c093a8048233dfbed333f635d3fe9cfcab92,b3f7c093a8048233dfbed333f635d3fe9cfcab92|11.0015|1.9667,3,5,3,10,0.600000,0.300000,3/5 | 3/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julius Randle,julius randle,minnesota timberwolves san antonio spurs,Julius Randle,203944,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),15+,PTS,over,15,14.5,1.6,19.6184,4.8341,0.855159,0.625000,0.230159,0.368255,36.83,4eefa9574ca0c5310eba3480a0b96ea59ef2a2dc,4eefa9574ca0c5310eba3480a0b96ea59ef2a2dc|19.6184|4.8341,2,5,7,10,0.400000,0.700000,2/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julius Randle,julius randle,minnesota timberwolves san antonio spurs,Julius Randle,203944,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),25+,PRA,over,25,24.5,1.6,30.8181,6.1893,0.846329,0.625000,0.221329,0.354126,35.41,403e5c0ccec9e220df6477fc9e4c5f567f22522e,403e5c0ccec9e220df6477fc9e4c5f567f22522e|30.8181|6.1893,2,5,7,10,0.400000,0.700000,2/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julius Randle,julius randle,minnesota timberwolves san antonio spurs,Julius Randle,203944,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),14+,PTS,over,14,13.5,1.45,19.6184,4.8341,0.897187,0.689655,0.207532,0.300921,30.09,74efbdacee063a726991454a51eacc2a997957c6,74efbdacee063a726991454a51eacc2a997957c6|19.6184|4.8341,2,5,7,10,0.400000,0.700000,2/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Julius Randle,julius randle,minnesota timberwolves san antonio spurs,Julius Randle,203944,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),24+,PRA,over,24,23.5,1.45,30.8181,6.1893,0.881473,0.689655,0.191818,0.278136,27.81,bd19fcaa3c09826e3091f2db28984749b04fc21a,bd19fcaa3c09826e3091f2db28984749b04fc21a|30.8181|6.1893,2,5,7,10,0.400000,0.700000,2/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Luke Kornet,luke kornet,minnesota timberwolves san antonio spurs,Luke Kornet,1628436,SAS,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,RA (hitos),3+,RA,over,3,2.5,1.34,6.65269,2.6976,0.938147,0.746269,0.191878,0.257117,25.71,b7a852cf9f33e2fe8311d05769d2e139d63e0328,b7a852cf9f33e2fe8311d05769d2e139d63e0328|6.6527|2.6976,2,5,7,10,0.400000,0.700000,2/5 | 7/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,Puntos (hitos),10+,PTS,over,10,9.5,2.95,11.4506,4.8341,0.656710,0.338983,0.317727,0.937295,93.73,ffac5bfb6b35421eb847f523bafe7a1a1bb5448f,ffac5bfb6b35421eb847f523bafe7a1a1bb5448f|11.4506|4.8341,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
2026-05-14T12:41:07+00:00,20260514_094005,betano,Minnesota Timberwolves San Antonio Spurs,Terrence Shannon Jr.,terrence shannon jr,minnesota timberwolves san antonio spurs,Terrence Shannon Jr.,1630545,MIN,Minnesota Timberwolves @ San Antonio Spurs,minnesota timberwolves san antonio spurs,1,1,PRA (hitos),14+,PRA,over,14,13.5,2.75,16.1196,6.1893,0.663942,0.363636,0.300306,0.825840,82.58,e4f75fe26996df8ed180400b98a5456881ec9870,e4f75fe26996df8ed180400b98a5456881ec9870|16.1196|6.1893,2,5,6,10,0.400000,0.600000,2/5 | 6/10,EV
